iter	Passed	Remaining
0	180	180241
1	187	93446
2	192	63976
3	196	49027
4	204	40613
5	208	34541
6	212	30189
7	217	27020
8	225	24808
9	229	22763
10	234	21112
11	240	19842
12	244	18595
13	249	17588
14	256	16849
15	260	16026
16	265	15334
17	271	14832
18	276	14289
19	282	13863
20	289	13512
21	340	15131
22	352	14971
23	383	15576
24	402	15684
25	428	16065
26	442	15935
27	453	15732
28	471	15786
29	480	15525
30	492	15385
31	500	15137
32	506	14830
33	514	14627
34	518	14290
35	522	13998
36	528	13753
37	532	13481
38	537	13237
39	541	13005
40	546	12775
41	550	12565
42	555	12359
43	560	12178
44	564	11982
45	568	11799
46	573	11624
47	577	11458
48	583	11317
49	586	11148
50	591	11002
51	594	10845
52	598	10690
53	602	10550
54	607	10435
55	611	10311
56	616	10194
57	620	10083
58	625	9977
59	630	9875
60	634	9760
61	638	9662
62	642	9554
63	645	9444
64	649	9346
65	654	9260
66	657	9162
67	662	9078
68	666	8987
69	671	8919
70	675	8837
71	679	8753
72	683	8675
73	688	8611
74	692	8545
75	696	8470
76	701	8406
77	705	8343
78	709	8272
79	712	8198
80	718	8150
81	721	8081
82	725	8010
83	728	7944
84	732	7881
85	736	7823
86	739	7758
87	742	7696
88	745	7634
89	750	7583
90	753	7523
91	756	7468
92	760	7413
93	763	7361
94	769	7327
95	772	7273
96	775	7221
97	779	7173
98	784	7138
99	788	7099
100	792	7053
101	796	7009
102	800	6968
103	804	6926
104	807	6880
105	811	6846
106	816	6815
107	819	6771
108	823	6735
109	827	6691
110	831	6659
111	834	6619
112	839	6587
113	842	6548
114	848	6527
115	852	6494
116	855	6459
117	860	6429
118	864	6401
119	868	6367
120	872	6335
121	875	6302
122	880	6278
123	884	6247
124	888	6217
125	891	6186
126	896	6163
127	901	6143
128	905	6114
129	910	6096
130	915	6072
131	918	6042
132	922	6014
133	927	5991
134	931	5966
135	934	5938
136	938	5910
137	943	5892
138	947	5866
139	951	5842
140	954	5817
141	959	5799
142	963	5773
143	966	5747
144	970	5722
145	975	5703
146	978	5679
147	982	5654
148	986	5633
149	989	5609
150	994	5589
151	998	5568
152	1001	5542
153	1004	5519
154	1009	5501
155	1012	5476
156	1015	5454
157	1018	5429
158	1022	5407
159	1026	5386
160	1029	5363
161	1032	5339
162	1035	5316
163	1039	5298
164	1042	5276
165	1045	5253
166	1048	5231
167	1052	5212
168	1056	5195
169	1059	5174
170	1063	5155
171	1066	5135
172	1071	5120
173	1074	5100
174	1078	5085
175	1082	5066
176	1087	5054
177	1091	5039
178	1094	5018
179	1098	5005
180	1103	4992
181	1107	4976
182	1111	4964
183	1115	4946
184	1120	4934
185	1123	4916
186	1127	4901
187	1131	4886
188	1135	4872
189	1139	4855
190	1142	4837
191	1146	4823
192	1151	4813
193	1155	4801
194	1160	4790
195	1162	4769
196	1168	4762
197	1172	4749
198	1175	4733
199	1180	4720
200	1185	4711
201	1188	4695
202	1192	4682
203	1196	4669
204	1201	4659
205	1205	4646
206	1210	4637
207	1217	4637
208	1222	4626
209	1226	4612
210	1230	4602
211	1236	4594
212	1240	4582
213	1245	4574
214	1250	4564
215	1256	4559
216	1259	4546
217	1265	4537
218	1268	4524
219	1272	4509
220	1275	4496
221	1280	4486
222	1283	4473
223	1287	4459
224	1290	4445
225	1294	4434
226	1299	4425
227	1303	4412
228	1306	4399
229	1310	4388
230	1314	4377
231	1318	4363
232	1321	4350
233	1324	4336
234	1329	4328
235	1333	4315
236	1336	4304
237	1340	4292
238	1346	4287
239	1350	4275
240	1353	4263
241	1357	4251
242	1362	4243
243	1365	4230
244	1369	4218
245	1372	4206
246	1377	4199
247	1381	4187
248	1384	4174
249	1387	4162
250	1392	4155
251	1396	4144
252	1399	4131
253	1402	4119
254	1406	4108
255	1409	4097
256	1413	4087
257	1417	4075
258	1420	4064
259	1424	4055
260	1428	4043
261	1431	4032
262	1434	4020
263	1439	4012
264	1443	4002
265	1446	3991
266	1450	3981
267	1454	3971
268	1458	3963
269	1462	3953
270	1465	3942
271	1468	3931
272	1473	3924
273	1477	3915
274	1482	3907
275	1485	3897
276	1490	3890
277	1493	3879
278	1496	3868
279	1500	3857
280	1504	3849
281	1509	3842
282	1512	3831
283	1516	3822
284	1521	3816
285	1524	3807
286	1528	3798
287	1532	3789
288	1537	3783
289	1542	3776
290	1545	3766
291	1551	3761
292	1556	3756
293	1559	3745
294	1564	3738
295	1568	3730
296	1571	3720
297	1577	3716
298	1581	3706
299	1585	3699
300	1590	3692
301	1596	3689
302	1600	3681
303	1605	3676
304	1611	3672
305	1618	3671
306	1623	3665
307	1627	3656
308	1632	3651
309	1637	3645
310	1640	3635
311	1644	3627
312	1650	3621
313	1654	3614
314	1658	3606
315	1661	3597
316	1667	3592
317	1671	3584
318	1674	3575
319	1680	3571
320	1686	3567
321	1689	3558
322	1693	3548
323	1697	3542
324	1702	3535
325	1706	3529
326	1711	3522
327	1715	3515
328	1720	3508
329	1723	3498
330	1726	3489
331	1731	3484
332	1735	3475
333	1738	3466
334	1742	3458
335	1746	3452
336	1750	3443
337	1753	3433
338	1756	3425
339	1760	3417
340	1764	3409
341	1767	3400
342	1770	3391
343	1773	3382
344	1778	3376
345	1781	3367
346	1784	3359
347	1788	3350
348	1792	3343
349	1796	3336
350	1799	3327
351	1803	3319
352	1806	3310
353	1810	3304
354	1815	3298
355	1818	3289
356	1821	3281
357	1826	3274
358	1830	3268
359	1833	3259
360	1836	3251
361	1841	3244
362	1845	3237
363	1848	3229
364	1851	3221
365	1855	3213
366	1859	3206
367	1863	3199
368	1866	3191
369	1869	3183
370	1873	3176
371	1878	3170
372	1882	3164
373	1885	3156
374	1890	3150
375	1894	3143
376	1898	3137
377	1902	3130
378	1906	3124
379	1911	3119
380	1915	3111
381	1919	3104
382	1925	3101
383	1929	3095
384	1934	3089
385	1942	3089
386	1947	3084
387	1951	3078
388	1956	3073
389	1960	3067
390	1965	3060
391	1969	3054
392	1974	3050
393	1979	3044
394	1983	3037
395	1989	3034
396	1994	3028
397	2001	3026
398	2007	3023
399	2014	3021
400	2019	3017
401	2025	3012
402	2028	3005
403	2034	3001
404	2039	2996
405	2043	2989
406	2047	2982
407	2052	2977
408	2056	2971
409	2060	2965
410	2063	2957
411	2068	2952
412	2073	2946
413	2077	2940
